Id;IdTipoAttributo;IdGruppo;Ordine;Nome;Descrizione;IdStoreProcedure;DataSource;DataMember;DataLen;DataFormat;necessario;RitornaDescrizione;PostBack;Discriminante;Principale;visualizzaValore;defaultValue;IdSPverificaAttributo;Regex;IsEsteso
726;3;939;1;codiceASL;codice ASL;NULL;profiloUtente;codiceASL;NULL;NULL;NULL;0;0;1;1;0;NULL;NULL;NULL;NULL
727;1;940;1;codiceUnita;"Codice Unità ";10;NULL;NULL;NULL;NULL;NULL;1;1;1;1;1;NULL;NULL;NULL;NULL
728;1;950;1;codiceUnita;Codice Unità;537;NULL;NULL;NULL;NULL;NULL;1;0;1;1;1;NULL;NULL;NULL;NULL
731;1;955;1;codiceUnita;Codice Unità;569;;;0;;0;0;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
741;1;962;1;PermessiAmmGCD;Permessi Amministratore;1;NULL;NULL;NULL;NULL;NULL;0;0;1;0;1;NULL;NULL;NULL;NULL
742;1;963;1;TipoCertificatoGCD;Tipo Certificato;1;NULL;NULL;NULL;NULL;NULL;0;0;1;0;1;NULL;NULL;NULL;NULL
743;1;964;1;PermessiRevGCD;Permessi Revisore;1;NULL;NULL;NULL;NULL;NULL;0;0;1;0;1;NULL;NULL;NULL;NULL
748;6;968;1;AreaApplicativaCSPA;Area Applicativa;1;;;0;;0;0;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
749;3;969;1;codiceUnita;Codice Unità;537;;;0;;1;1;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
750;1;975;1;codiceUnita;Codice Unità;537;;;0;;0;1;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
751;1;973;1;codiceUnita;Codice Unità;537;;;0;;0;1;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
752;1;974;1;codiceUnita;Codice Unità;537;;;0;;0;1;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
753;1;972;1;codiceUnita;Codice Unità;537;;;0;;0;1;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
755;1;978;1;CodiceUnita;CodiceUnita;10;;;0;;0;0;0;1;0;0;;-1;"                                                                                                                                                                                                                                                          ";0
756;1;979;1;CodiceUnita;CodiceUnita;10;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
757;1;981;1;codiceUnita;codiceUnita;10;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
758;1;982;1;codiceUnita;codiceUnita;10;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
759;1;983;1;codiceUnita;codiceUnita;10;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
760;1;984;1;codiceUnita;codiceUnita;10;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
761;1;985;1;codiceUnita;codiceUnita;10;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
762;1;986;1;codiceUnita;codiceUnita;10;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
763;1;987;1;codiceUnita;codiceUnita;10;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
764;1;988;1;codiceUnita;codiceUnita;10;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
765;1;989;1;codiceUnita;codiceUnita;10;;;0;;0;0;0;0;0;0;;-1;"                                                                                                                                                                                                                                                          ";0
766;1;995;1;codiceUnita;Codice Unità;537;;;0;;0;1;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
767;1;698;1;codiceUnita;Codice Unità;537;;;0;;0;1;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
768;1;697;1;codiceUnita;Codice Unità;537;;;0;;0;1;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
769;3;996;1;codiceUnita;Codice Unità;-1;;;0;;0;0;0;0;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
770;1;1000;1;servizioCSBI;Servizio di competenza;1;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
771;1;1001;1;CodiceCAF;CodiceCAF;1;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
772;1;1004;1;codiceUnita;Codice Unità;537;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
